start,goal,algorithm,found,total_cost,path_length,nodes_expanded,edges_evaluated,time_ms
s01,s28,Dijkstra,True,0.558,4,25,214,8.354
s01,s28,A*,True,0.558,4,4,26,1.268
s05,s24,Dijkstra,True,0.7043,6,27,218,7.147
s05,s24,A*,True,0.7115,5,6,49,1.507
s09,s20,Dijkstra,True,0.4842,3,20,173,4.087
s09,s20,A*,True,0.4842,3,3,20,1.059
s13,s25,Dijkstra,True,0.4316,3,26,219,5.06
s13,s25,A*,True,0.4316,3,3,20,0.637
s01,s17,Dijkstra,True,0.5107,3,24,207,4.165
s01,s17,A*,True,0.5107,3,3,13,0.439
s02,s22,Dijkstra,True,0.6215,4,28,217,4.425
s02,s22,A*,True,0.6215,4,4,24,0.74
s10,s26,Dijkstra,True,0.3586,2,15,130,3.868
s10,s26,A*,True,0.3586,2,2,12,0.509
s14,s23,Dijkstra,True,0.2509,3,7,59,1.794
s14,s23,A*,True,0.2509,3,3,18,0.556
s06,s19,Dijkstra,True,0.5069,5,22,177,3.604
s06,s19,A*,True,0.5446,4,5,42,1.454
s03,s27,Dijkstra,True,0.2117,2,10,85,3.01
s03,s27,A*,True,0.2117,2,2,10,0.347
