w_harmonic,w_tempo,w_semantic,found,total_cost,path_length,path,avg_harm,avg_tempo,avg_sem
0.0,0.0,1.0,True,0.5098,4,s01 → s04 → s18 → s23,0.3778,0.0617,0.1699
0.0,0.1,0.9,True,0.4773,4,s01 → s04 → s18 → s23,0.3778,0.0617,0.1699
0.0,0.2,0.8,True,0.4414,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.0,0.3,0.7,True,0.3969,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.0,0.4,0.6,True,0.3523,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.0,0.5,0.5,True,0.3077,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.0,0.6,0.4,True,0.2632,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.0,0.7,0.3,True,0.2045,4,s01 → s04 → s21 → s23,0.3889,0.0057,0.2138
0.0,0.8,0.2,True,0.1421,4,s01 → s04 → s21 → s23,0.3889,0.0057,0.2138
0.0,0.9,0.1,True,0.0797,4,s01 → s04 → s21 → s23,0.3889,0.0057,0.2138
0.0,1.0,0.0,True,0.0172,4,s01 → s04 → s17 → s23,0.3778,0.0057,0.2409
0.1,0.0,0.9,True,0.5275,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.1,0.8,True,0.483,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.2,0.7,True,0.4384,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.3,0.6,True,0.3938,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.4,0.5,True,0.3492,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.5,0.4,True,0.3047,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.6,0.3,True,0.2601,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.7,0.2,True,0.2155,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.8,0.1,True,0.171,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.1,0.9,0.0,True,0.1264,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.0,0.8,True,0.5245,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.1,0.7,True,0.4799,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.2,0.6,True,0.4353,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.3,0.5,True,0.3908,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.4,0.4,True,0.3462,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.5,0.3,True,0.3016,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.6,0.2,True,0.2571,3,s01 → s04 → s23,0.25,0.0424,0.2653
0.2,0.7,0.1,True,0.2125,3,s01 → s04 → s23,0.25,0.0424,0.2653
